"","City2","State2","savings","hpigap","Pop","Location"
"281","Saginaw","MI",0.484020565779033,142.016,76,"Saginaw, MI"
"282","Salem","OR",0.1587400192238,51.5,1285,"Salem, OR"
"283","Salisbury","MD",0.178814769959871,54.375,56,"Salisbury, MD"
"284","Salt Lake City","UT",0.0783628964955711,33.728,3246,"Salt Lake City, UT"
"285","San Angelo","TX",0.066875098158956,22.68,393,"San Angelo, TX"
"286","San Antonio-New Braunfels","TX",0.131057352452405,44.0706818181818,3839,"San Antonio-New Braunfels, TX"
"287","Santa Fe","NM",0.390766423074161,123.675357142857,380,"Santa Fe, NM"
"288","Savannah","GA",0.233229117063249,66.8666666666667,152,"Savannah, GA"
"289","Scranton--Wilkes-Barre","PA",0.363987151308237,101.926,425,"Scranton--Wilkes-Barre, PA"
"290","Seattle-Tacoma-Bellevue","WA",-0.15470481605218,-24.11625,8212,"Seattle-Tacoma-Bellevue, WA"
"291","Sebastian-Vero Beach","FL",0.2551229791957,73.7025,372,"Sebastian-Vero Beach, FL"
"292","Sebring-Avon Park","FL",0.420070733863837,130.6525,26,"Sebring-Avon Park, FL"
"293","Sheboygan","WI",0.456347008977263,135.98,13,"Sheboygan, WI"
"294","Sherman-Denison","TX",0.0948325911368209,28.4805,190,"Sherman-Denison, TX"
"295","Shreveport-Bossier City","LA",0.228186294589576,62.2315,185,"Shreveport-Bossier City, LA"
"296","Sierra Vista-Douglas","AZ",0.381169846615535,113.7165,699,"Sierra Vista-Douglas, AZ"
"297","Sioux City","IA",0.40227485168312,131.869166666667,66,"Sioux City, IA"
"298","Sioux Falls","SD",0.282275632044134,89.2233333333333,1039,"Sioux Falls, SD"
"299","South Bend-Mishawaka","IN",0.479370957561482,152.915,39,"South Bend-Mishawaka, IN"
"300","Spartanburg","SC",0.351112509184193,92.1892857142857,448,"Spartanburg, SC"
"301","Spokane-Spokane Valley","WA",0.222975764138064,63.4861842105263,3023,"Spokane-Spokane Valley, WA"
"302","Springfield","IL",0.470647982662713,152.694166666667,125,"Springfield, IL"
"303","Springfield","MA",0.202481919948027,57.4791666666667,173,"Springfield, MA"
"304","Springfield","MO",0.386751654703808,110.813392857143,563,"Springfield, MO"
"305","Springfield","OH",0.446855385941034,114.09,179,"Springfield, OH"
"306","St. Cloud","MN",0.212099449690559,57.9946428571429,139,"St. Cloud, MN"
"307","St. George","UT",0.312934059826717,91.43,1453,"St. George, UT"
"308","St. Joseph","MO",0.244793468230346,63.35625,6,"St. Joseph, MO"
"309","St. Louis","MO",0.235147511211285,68.1496875,865,"St. Louis, MO"
