A,State/U.S. Island Area/Foreign Region of Geography B,B,Net_B2A
Alameda County,Northern America,-,
Alameda County,Oceania and At Sea,-,
Alameda County,South America,-,
Alpine County,California,Amador County,-2
Alpine County,California,Calaveras County,2
Alpine County,California,Glenn County,5
Alpine County,California,Humboldt County,3
Alpine County,California,Marin County,3
Alpine County,California,San Francisco County,62
Alpine County,California,San Mateo County,3
Alpine County,California,Santa Clara County,-25
Alpine County,Nevada,Douglas County,-58
Alpine County,Nevada,Carson City,-9
Alpine County,New York,Kings County,4
Amador County,Arizona,Apache County,-8
Amador County,Arizona,Pinal County,-31
Amador County,Arkansas,Franklin County,-4
Amador County,Arkansas,Washington County,4
Amador County,California,Alameda County,97
Amador County,California,Alpine County,2
Amador County,California,Calaveras County,40
Amador County,California,Contra Costa County,194
Amador County,California,Del Norte County,-3
Amador County,California,El Dorado County,-7
Amador County,California,Fresno County,119
Amador County,California,Glenn County,-5
Amador County,California,Humboldt County,1
Amador County,California,Imperial County,43
Amador County,California,Kern County,75
Amador County,California,Kings County,18
Amador County,California,Lake County,-9
Amador County,California,Lassen County,60
Amador County,California,Los Angeles County,4
Amador County,California,Madera County,-17
Amador County,California,Marin County,40
Amador County,California,Merced County,8
Amador County,California,Modoc County,-5
Amador County,California,Monterey County,43
Amador County,California,Nevada County,-2
Amador County,California,Placer County,2
Amador County,California,Riverside County,-29
Amador County,California,Sacramento County,-6
Amador County,California,San Benito County,-7
Amador County,California,San Bernardino County,-10
Amador County,California,San Diego County,115
Amador County,California,San Francisco County,9
Amador County,California,San Joaquin County,63
Amador County,California,San Luis Obispo County,21
Amador County,California,San Mateo County,21
Amador County,California,Santa Barbara County,-7
Amador County,California,Santa Clara County,-1
Amador County,California,Santa Cruz County,-11
Amador County,California,Shasta County,5
Amador County,California,Solano County,-27
Amador County,California,Sonoma County,-84
Amador County,California,Stanislaus County,36
Amador County,California,Sutter County,-63
Amador County,California,Tulare County,16
Amador County,California,Tuolumne County,-9
Amador County,California,Ventura County,15
Amador County,California,Yolo County,0
Amador County,Colorado,Arapahoe County,5
Amador County,Colorado,Clear Creek County,45
Amador County,Colorado,El Paso County,-17
Amador County,Colorado,Mesa County,-32
Amador County,Idaho,Ada County,24
Amador County,Idaho,Canyon County,-76
Amador County,Idaho,Elmore County,-7
Amador County,Iowa,Marion County,-9
Amador County,Kentucky,Graves County,-26
Amador County,Kentucky,Grayson County,-9
Amador County,Kentucky,Laurel County,17
Amador County,Louisiana,Caddo Parish,8
Amador County,Louisiana,East Baton Rouge Parish,20
Amador County,Minnesota,Hennepin County,40
Amador County,Nevada,Douglas County,-3
Amador County,Nevada,Pershing County,-7
Amador County,Nevada,Washoe County,-20
Amador County,New Mexico,Bernalillo County,27
Amador County,New York,New York County,41
Amador County,North Carolina,Alamance County,-1
Amador County,North Carolina,Guilford County,-24
Amador County,North Carolina,Mecklenburg County,5
Amador County,Oklahoma,Oklahoma County,5
Amador County,Oregon,Douglas County,-14
Amador County,Oregon,Jackson County,-8
Amador County,Pennsylvania,Allegheny County,30
Amador County,South Carolina,Dorchester County,8
Amador County,South Carolina,Richland County,26
Amador County,Tennessee,Giles County,-5
Amador County,Tennessee,Madison County,-9
Amador County,Tennessee,Weakley County,-11
Amador County,Texas,Dallas County,-13
Amador County,Texas,Henderson County,-269
Amador County,Texas,Smith County,32
Amador County,Utah,Davis County,26
Amador County,Utah,Salt Lake County,7
Amador County,Virginia,Richmond County,10
Amador County,Virginia,Suffolk City,3
Amador County,Washington,Grays Harbor County,-15
Amador County,Washington,King County,16
Amador County,Washington,Kitsap County,-57
Amador County,Washington,Pierce County,3
Amador County,Washington,Spokane County,-37
Amador County,Washington,Thurston County,-26
Amador County,Asia,-,
Amador County,Central America,-,
Butte County,Alabama,Crenshaw County,-7
Butte County,Alaska,Anchorage Municipality,-43
Butte County,Alaska,Kodiak Island Borough,23
Butte County,Arizona,Cochise County,-24
Butte County,Arizona,Maricopa County,-30
Butte County,Arizona,Mohave County,-18
Butte County,Arizona,Pima County,28
Butte County,Arizona,Yuma County,3
Butte County,Arkansas,Pike County,-8
Butte County,California,Alameda County,1297
Butte County,California,Calaveras County,32
Butte County,California,Colusa County,-79
Butte County,California,Contra Costa County,-492
Butte County,California,Del Norte County,18
Butte County,California,El Dorado County,-67
Butte County,California,Fresno County,-146
Butte County,California,Glenn County,-50
Butte County,California,Humboldt County,-198
Butte County,California,Imperial County,66
Butte County,California,Kern County,1
Butte County,California,Kings County,0
Butte County,California,Lake County,159
Butte County,California,Lassen County,-35
Butte County,California,Los Angeles County,336
Butte County,California,Madera County,-19
Butte County,California,Marin County,32
Butte County,California,Mariposa County,1
Butte County,California,Mendocino County,-30
Butte County,California,Merced County,131
Butte County,California,Modoc County,58
Butte County,California,Monterey County,21
Butte County,California,Napa County,30
Butte County,California,Nevada County,-47
Butte County,California,Orange County,88
Butte County,California,Placer County,-389
Butte County,California,Plumas County,80
Butte County,California,Riverside County,-123
Butte County,California,Sacramento County,-36
Butte County,California,San Benito County,-14
Butte County,California,San Bernardino County,65
Butte County,California,San Diego County,114
Butte County,California,San Francisco County,-151
Butte County,California,San Joaquin County,-31
Butte County,California,San Luis Obispo County,-22
Butte County,California,San Mateo County,122
Butte County,California,Santa Barbara County,132
Butte County,California,Santa Clara County,122
Butte County,California,Santa Cruz County,37
Butte County,California,Shasta County,-204
Butte County,California,Siskiyou County,-23
Butte County,California,Solano County,-74
Butte County,California,Sonoma County,90
Butte County,California,Stanislaus County,50
Butte County,California,Sutter County,-257
Butte County,California,Tehama County,-31
Butte County,California,Trinity County,10
Butte County,California,Tulare County,-40
Butte County,California,Tuolumne County,4
Butte County,California,Ventura County,309
Butte County,California,Yolo County,-46
Butte County,California,Yuba County,96
Butte County,Colorado,Arapahoe County,-45
Butte County,Colorado,Boulder County,9
Butte County,Colorado,Denver County,-16
Butte County,Colorado,Douglas County,-11
Butte County,Colorado,El Paso County,27
Butte County,Colorado,Jefferson County,-11
Butte County,Colorado,Montrose County,94
Butte County,Colorado,Prowers County,7
Butte County,Colorado,Pueblo County,28
Butte County,Connecticut,Fairfield County,18
Butte County,Delaware,New Castle County,-15
Butte County,District of Columbia,District of Columbia,44
Butte County,Florida,Duval County,8
Butte County,Florida,Escambia County,-23
Butte County,Florida,Indian River County,-53
Butte County,Florida,Lake County,-1
Butte County,Florida,Okaloosa County,-17
Butte County,Florida,Orange County,12
Butte County,Florida,Pasco County,17
Butte County,Florida,Polk County,94
Butte County,Florida,Putnam County,-33
Butte County,Georgia,Coweta County,17
Butte County,Georgia,DeKalb County,-29
Butte County,Georgia,Hall County,-26
Butte County,Georgia,Haralson County,16
Butte County,Georgia,Hart County,-5
Butte County,Georgia,Muscogee County,-6
Butte County,Georgia,Upson County,-38
Butte County,Hawaii,Hawaii County,8
Butte County,Hawaii,Honolulu County,-16
Butte County,Idaho,Ada County,-28
Butte County,Idaho,Bannock County,-6
Butte County,Idaho,Bonner County,-18
Butte County,Idaho,Bonneville County,-44
Butte County,Idaho,Canyon County,23
Butte County,Idaho,Caribou County,-1
Butte County,Idaho,Clark County,-6
Butte County,Idaho,Clearwater County,-4
Butte County,Idaho,Jerome County,-2
Butte County,Idaho,Kootenai County,-2
Butte County,Idaho,Lemhi County,-3
Butte County,Idaho,Minidoka County,15
Butte County,Idaho,Payette County,-21
Butte County,Idaho,Shoshone County,-15
Butte County,Idaho,Twin Falls County,-33
Butte County,Illinois,Lake County,6
Butte County,Illinois,Winnebago County,-17
Butte County,Indiana,Marion County,-23
Butte County,Indiana,Orange County,-8
Butte County,Kansas,Johnson County,-36
Butte County,Kansas,Shawnee County,20
Butte County,Kentucky,Hardin County,-56
Butte County,Kentucky,Madison County,-10
Butte County,Kentucky,Meade County,-5
Butte County,Kentucky,Shelby County,-19
Butte County,Louisiana,East Baton Rouge Parish,-20
Butte County,Louisiana,Tangipahoa Parish,91
Butte County,Louisiana,Vernon Parish,-2
Butte County,Maryland,Wicomico County,8
Butte County,Massachusetts,Norfolk County,-18
Butte County,Michigan,Barry County,-16
Butte County,Michigan,Bay County,-47
Butte County,Michigan,Hillsdale County,-2
Butte County,Michigan,Ionia County,-6
Butte County,Michigan,Oakland County,-119
Butte County,Minnesota,Meeker County,-12
Butte County,Minnesota,Nobles County,-4
Butte County,Minnesota,Ramsey County,-4
Butte County,Minnesota,St. Louis County,36
Butte County,Minnesota,Stearns County,-5
Butte County,Minnesota,Traverse County,-12
Butte County,Minnesota,Washington County,14
Butte County,Mississippi,Attala County,-26
Butte County,Missouri,Livingston County,-9
Butte County,Missouri,Ray County,-6
Butte County,Missouri,Saline County,-67
Butte County,Montana,Gallatin County,-34
Butte County,Nebraska,Douglas County,-5
Butte County,Nebraska,Sarpy County,-6
Butte County,Nevada,Churchill County,-28
Butte County,Nevada,Clark County,27
Butte County,Nevada,Douglas County,-28
Butte County,Nevada,Lyon County,-148
Butte County,Nevada,Washoe County,104
Butte County,Nevada,Carson City,-10
Butte County,New Mexico,Bernalillo County,16
Butte County,New Mexico,Sandoval County,-19
Butte County,New Mexico,San Miguel County,27
Butte County,New York,Bronx County,32
Butte County,New York,Cattaraugus County,-4
Butte County,New York,Dutchess County,39
Butte County,New York,New York County,24
Butte County,New York,Onondaga County,7
Butte County,New York,Saratoga County,-21
Butte County,North Carolina,Gaston County,-5
Butte County,North Carolina,Moore County,109
Butte County,North Carolina,Wilson County,5
Butte County,North Dakota,Stutsman County,2
Butte County,North Dakota,Williams County,-7
Butte County,Ohio,Ashland County,-10
Butte County,Ohio,Franklin County,-44
Butte County,Ohio,Greene County,-58
Butte County,Ohio,Lucas County,-3
Butte County,Oklahoma,Garfield County,-104
Butte County,Oklahoma,Jackson County,-11
Butte County,Oklahoma,Pottawatomie County,24
Butte County,Oklahoma,Tulsa County,-6
Butte County,Oregon,Benton County,62
Butte County,Oregon,Clackamas County,-151
Butte County,Oregon,Deschutes County,-39
Butte County,Oregon,Douglas County,3
Butte County,Oregon,Jackson County,10
Butte County,Oregon,Jefferson County,-10
Butte County,Oregon,Josephine County,-9
Butte County,Oregon,Klamath County,-16
Butte County,Oregon,Lane County,-26
Butte County,Oregon,Lincoln County,-74
Butte County,Oregon,Marion County,22
Butte County,Oregon,Multnomah County,-86
Butte County,Oregon,Washington County,-47
Butte County,Pennsylvania,Clinton County,-7
Butte County,Pennsylvania,Crawford County,-8
Butte County,Pennsylvania,Erie County,2
Butte County,South Carolina,Richland County,-11
Butte County,South Dakota,Brookings County,10
Butte County,South Dakota,Lawrence County,-23
Butte County,South Dakota,Pennington County,27
Butte County,South Dakota,Walworth County,-24
Butte County,Tennessee,Carroll County,-23
Butte County,Tennessee,Cumberland County,-40
Butte County,Tennessee,Hamilton County,-104
Butte County,Texas,Blanco County,-4
Butte County,Texas,Brazos County,14
Butte County,Texas,Dallas County,-10
Butte County,Texas,Denton County,31
Butte County,Texas,El Paso County,10
Butte County,Texas,Grayson County,-99
Butte County,Texas,Gregg County,2
Butte County,Texas,Harris County,7
Butte County,Texas,Hays County,-12
Butte County,Texas,Montgomery County,38
Butte County,Texas,Tarrant County,17
Butte County,Texas,Travis County,-48
Butte County,Texas,Williamson County,-47
Butte County,Texas,Wise County,-27
Butte County,Utah,Carbon County,-25
Butte County,Utah,Salt Lake County,10
Butte County,Utah,Summit County,1
Butte County,Utah,Utah County,-19
Butte County,Utah,Washington County,4
Butte County,Virginia,Accomack County,-1
Butte County,Virginia,Fairfax County,16
Butte County,Virginia,Virginia Beach City,28
Butte County,Washington,Clark County,-20
Butte County,Washington,Cowlitz County,-10
Butte County,Washington,Island County,-37
Butte County,Washington,King County,95
Butte County,Washington,Pierce County,-6
Butte County,Washington,San Juan County,-8
Butte County,Washington,Skagit County,43
Butte County,Washington,Spokane County,-3
Butte County,Washington,Walla Walla County,4
Butte County,Washington,Whatcom County,46
Butte County,Washington,Yakima County,-2
Butte County,Wisconsin,Adams County,-4
Butte County,Wisconsin,Brown County,20
Butte County,Wisconsin,Dane County,40
Butte County,Wisconsin,Kenosha County,-30
Butte County,Wisconsin,Milwaukee County,9
Butte County,Wisconsin,Milwaukee County,-11
Butte County,Wisconsin,Monroe County,-3
Butte County,Wisconsin,Rock County,13
Butte County,Wyoming,Uinta County,-47
Butte County,Africa,-,
Butte County,Asia,-,
Butte County,Central America,-,
Butte County,Europe,-,
Butte County,Northern America,-,
Butte County,Oceania and At Sea,-,
Butte County,South America,-,
Calaveras County,Arizona,Mohave County,-10
Calaveras County,Arizona,Navajo County,-33
Calaveras County,Arizona,Pinal County,-5
Calaveras County,Arizona,Yuma County,2
Calaveras County,California,Alameda County,228
Calaveras County,California,Alpine County,-2
Calaveras County,California,Amador County,-40
